Release Date,Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),Time,Actual,Forecast,Previous
7/25/2016,2016,7,1,7,31,7/1/2016,7/31/2016,2016-07-01,2016-07-29,3:00,100.1,,100
6/24/2016,2016,6,1,6,30,6/1/2016,6/30/2016,2016-06-01,2016-06-30,3:00,100,,107.8
5/25/2016,2016,5,1,5,31,5/1/2016,5/31/2016,2016-05-02,2016-05-31,3:00,99.1,,99.1
4/25/2016,2016,4,1,4,30,4/1/2016,4/30/2016,2016-04-01,2016-04-29,3:00,99.1,,98.9
3/22/2016,2016,3,1,3,31,3/1/2016,3/31/2016,2016-03-01,2016-03-31,4:00,98.9,,98.8
2/23/2016,2016,2,1,2,29,2/1/2016,2/29/2016,2016-02-01,2016-02-29,4:00,98.8,,99.7
1/25/2016,2016,1,1,1,31,1/1/2016,1/31/2016,2016-01-01,2016-01-29,4:00,99.7,,101
12/17/2015,2015,12,1,12,31,12/1/2015,12/31/2015,2015-12-01,2015-12-31,4:00,101,,101.3
11/24/2015,2015,11,1,11,30,11/1/2015,11/30/2015,2015-11-02,2015-11-30,4:00,101.3,,101
10/26/2015,2015,10,1,10,31,10/1/2015,10/31/2015,2015-10-01,2015-10-30,4:00,101,,100.6
9/24/2015,2015,9,1,9,30,9/1/2015,9/30/2015,2015-09-01,2015-09-30,3:00,100.6,,100.7
8/25/2015,2015,8,1,8,31,8/1/2015,8/31/2015,2015-08-03,2015-08-31,3:00,100.7,,99.5
7/27/2015,2015,7,1,7,31,7/1/2015,7/31/2015,2015-07-01,2015-07-31,3:00,99.5,,100.1
6/24/2015,2015,6,1,6,30,6/1/2015,6/30/2015,2015-06-01,2015-06-30,3:00,100.1,,99.8
5/22/2015,2015,5,1,5,31,5/1/2015,5/31/2015,2015-05-01,2015-05-29,3:00,99.8,,99.3
4/24/2015,2015,4,1,4,30,4/1/2015,4/30/2015,2015-04-01,2015-04-30,3:00,99.3,,98.9
3/25/2015,2015,3,1,3,31,3/1/2015,3/31/2015,2015-03-02,2015-03-31,4:00,98.9,,98.8
2/23/2015,2015,2,1,2,28,2/1/2015,2/28/2015,2015-02-02,2015-02-27,4:00,98.8,,98.9
1/26/2015,2015,1,1,1,31,1/1/2015,1/31/2015,2015-01-01,2015-01-30,4:00,98.9,,95.8
12/18/2014,2014,12,1,12,31,12/1/2014,12/31/2014,2014-12-01,2014-12-31,4:00,98.5,,96.3
11/24/2014,2014,11,1,11,30,11/1/2014,11/30/2014,2014-11-03,2014-11-28,4:00,96.3,,96.7
10/27/2014,2014,10,1,10,31,10/1/2014,10/31/2014,2014-10-01,2014-10-31,4:00,96.7,,98.1
9/24/2014,2014,9,1,9,30,9/1/2014,9/30/2014,2014-09-01,2014-09-30,3:00,98.1,,98.2
8/25/2014,2014,8,1,8,31,8/1/2014,8/31/2014,2014-08-01,2014-08-29,3:00,98.2,,99.3
7/25/2014,2014,7,1,7,31,7/1/2014,7/31/2014,2014-07-01,2014-07-31,3:00,99.3,,99.6
6/24/2014,2014,6,1,6,30,6/1/2014,6/30/2014,2014-06-02,2014-06-30,3:00,99.6,,99.8
5/23/2014,2014,5,1,5,31,5/1/2014,5/31/2014,2014-05-01,2014-05-30,3:00,99.8,,101.2
4/24/2014,2014,4,1,4,30,4/1/2014,4/30/2014,2014-04-01,2014-04-30,3:00,101.2,,101.1
3/25/2014,2014,3,1,3,31,3/1/2014,3/31/2014,2014-03-03,2014-03-31,4:00,101.1,,101.4
2/24/2014,2014,2,1,2,28,2/1/2014,2/28/2014,2014-02-03,2014-02-28,4:00,101.4,,101.3
1/27/2014,2014,1,1,1,31,1/1/2014,1/31/2014,2014-01-01,2014-01-31,4:00,101.3,,100.4
12/18/2013,2013,12,1,12,31,12/1/2013,12/31/2013,2013-12-02,2013-12-31,4:00,100.4,,99.8
11/22/2013,2013,11,1,11,30,11/1/2013,11/30/2013,2013-11-01,2013-11-29,4:00,99.8,,99.1
10/25/2013,2013,10,1,10,31,10/1/2013,10/31/2013,2013-10-01,2013-10-31,3:00,99.1,,99.4
9/24/2013,2013,9,1,9,30,9/1/2013,9/30/2013,2013-09-02,2013-09-30,3:00,99.4,,98.5
8/27/2013,2013,8,1,8,31,8/1/2013,8/31/2013,2013-08-01,2013-08-30,3:00,98.5,,97.6
7/25/2013,2013,7,1,7,31,7/1/2013,7/31/2013,2013-07-01,2013-07-31,3:00,97.6,,96.3
6/24/2013,2013,6,1,6,30,6/1/2013,6/30/2013,2013-06-03,2013-06-28,3:00,96.3,,96.3
5/24/2013,2013,5,1,5,31,5/1/2013,5/31/2013,2013-05-01,2013-05-31,3:00,96.3,,95.4
4/24/2013,2013,4,1,4,30,4/1/2013,4/30/2013,2013-04-01,2013-04-30,3:00,95.4,,97.8
3/22/2013,2013,3,1,3,31,3/1/2013,3/31/2013,2013-03-01,2013-03-29,4:00,97.8,,97.6
2/22/2013,2013,2,1,2,28,2/1/2013,2/28/2013,2013-02-01,2013-02-28,4:00,97.6,,96.7
1/25/2013,2013,1,1,1,31,1/1/2013,1/31/2013,2013-01-01,2013-01-31,4:00,96.7,,95.6
12/19/2012,2012,12,1,12,31,12/1/2012,12/31/2012,2012-12-03,2012-12-31,4:00,95.6,,94.3
11/23/2012,2012,11,1,11,30,11/1/2012,11/30/2012,2012-11-01,2012-11-30,4:00,94.3,,95.1
10/24/2012,2012,10,1,10,31,10/1/2012,10/31/2012,2012-10-01,2012-10-31,3:00,95.1,,94.7
9/24/2012,2012,9,1,9,30,9/1/2012,9/30/2012,2012-09-03,2012-09-28,3:00,94.7,,94.6
8/27/2012,2012,8,1,8,31,8/1/2012,8/31/2012,2012-08-01,2012-08-31,3:00,94.6,,95.1
7/25/2012,2012,7,1,7,31,7/1/2012,7/31/2012,2012-07-02,2012-07-31,3:00,95.1,,96.6
6/22/2012,2012,6,1,6,30,6/1/2012,6/30/2012,2012-06-01,2012-06-29,3:00,96.6,,98.2
5/24/2012,2012,5,1,5,31,5/1/2012,5/31/2012,2012-05-01,2012-05-31,3:00,98.2,,99.1
4/20/2012,2012,4,1,4,30,4/1/2012,4/30/2012,2012-04-02,2012-04-30,3:00,99.1,,99.3
3/26/2012,2012,3,1,3,31,3/1/2012,3/31/2012,2012-03-01,2012-03-30,3:00,99.3,,99.1
2/23/2012,2012,2,1,2,29,2/1/2012,2/29/2012,2012-02-01,2012-02-29,4:00,99.1,,98.3
1/25/2012,2012,1,1,1,31,1/1/2012,1/31/2012,2012-01-02,2012-01-31,4:00,98.3,,98.1
12/20/2011,2011,12,1,12,31,12/1/2011,12/31/2011,2011-12-01,2011-12-30,4:00,98.1,,98.2
