observation_date,Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),ZAFPROMANMISMEI,South Africa Industrial Production
1992-02-01,1992,2,1,2,29,1992-02-01,1992-02-29,1992-02-03,1992-02-28,71.1175505780055,71.12
1992-03-01,1992,3,1,3,31,1992-03-01,1992-03-31,1992-03-02,1992-03-31,71.8122357759216,71.81
1992-04-01,1992,4,1,4,30,1992-04-01,1992-04-30,1992-04-01,1992-04-30,71.5525165715749,71.55
1992-05-01,1992,5,1,5,31,1992-05-01,1992-05-31,1992-05-01,1992-05-29,71.8062360353020,71.81
1992-06-01,1992,6,1,6,30,1992-06-01,1992-06-30,1992-06-01,1992-06-30,69.3684168995126,69.37
1992-07-01,1992,7,1,7,31,1992-07-01,1992-07-31,1992-07-01,1992-07-31,70.8140684130143,70.81
1992-08-01,1992,8,1,8,31,1992-08-01,1992-08-31,1992-08-03,1992-08-31,66.9085720364348,66.91
1992-09-01,1992,9,1,9,30,1992-09-01,1992-09-30,1992-09-01,1992-09-30,69.4844770142118,69.48
1992-10-01,1992,10,1,10,31,1992-10-01,1992-10-31,1992-10-01,1992-10-30,71.1595328700052,71.16
1992-11-01,1992,11,1,11,30,1992-11-01,1992-11-30,1992-11-02,1992-11-30,71.5976262277426,71.60
1992-12-01,1992,12,1,12,31,1992-12-01,1992-12-31,1992-12-01,1992-12-31,71.5231297332894,71.52
1993-01-01,1993,1,1,1,31,1993-01-01,1993-01-31,1993-01-01,1993-01-29,72.4350982429859,72.44
1993-02-01,1993,2,1,2,28,1993-02-01,1993-02-28,1993-02-01,1993-02-26,72.6761917771573,72.68
1993-03-01,1993,3,1,3,31,1993-03-01,1993-03-31,1993-03-01,1993-03-31,73.0026805493244,73.00
1993-04-01,1993,4,1,4,30,1993-04-01,1993-04-30,1993-04-01,1993-04-30,69.9644318888091,69.96
1993-05-01,1993,5,1,5,31,1993-05-01,1993-05-31,1993-05-03,1993-05-31,71.4960249925271,71.50
1993-06-01,1993,6,1,6,30,1993-06-01,1993-06-30,1993-06-01,1993-06-30,72.3501363081860,72.35
1993-07-01,1993,7,1,7,31,1993-07-01,1993-07-31,1993-07-01,1993-07-30,71.8957047564218,71.90
1993-08-01,1993,8,1,8,31,1993-08-01,1993-08-31,1993-08-02,1993-08-31,73.0635632239573,73.06
1993-09-01,1993,9,1,9,30,1993-09-01,1993-09-30,1993-09-01,1993-09-30,72.2933060894791,72.29
1993-10-01,1993,10,1,10,31,1993-10-01,1993-10-31,1993-10-01,1993-10-29,72.3375230283928,72.34
1993-11-01,1993,11,1,11,30,1993-11-01,1993-11-30,1993-11-01,1993-11-30,73.1675777315140,73.17
1993-12-01,1993,12,1,12,31,1993-12-01,1993-12-31,1993-12-01,1993-12-31,74.6257999813140,74.63
1994-01-01,1994,1,1,1,31,1994-01-01,1994-01-31,1994-01-03,1994-01-31,73.1214282508415,73.12
1994-02-01,1994,2,1,2,28,1994-02-01,1994-02-28,1994-02-01,1994-02-28,72.4855513683974,72.49
1994-03-01,1994,3,1,3,31,1994-03-01,1994-03-31,1994-03-01,1994-03-31,74.7384214286026,74.74
1994-04-01,1994,4,1,4,30,1994-04-01,1994-04-30,1994-04-01,1994-04-29,72.2852880803192,72.29
1994-05-01,1994,5,1,5,31,1994-05-01,1994-05-31,1994-05-02,1994-05-31,70.4380907420687,70.44
